"اليوم","نوع المحتوى","المحور","السكريبت للتعليق الصوتي (AI Voiceover)","النص على الشاشة (On-Screen Text)","موجه الذكاء الاصطناعي (AI Prompt للصورة/الخلفية)","الكابشن المكتوب (للنشر)","الـ CTA"
"اليوم 6","Reel","الذكاء الاصطناعي","تخيل منصة بتعرف إنت بتغلط في إيه وبتركزلك عليه؟ محرك إديو نور بيحلل إجاباتك وبيطلعلك أسئلة تعالج نقط ضعفك. المذاكرة بقت أذكى بكتير.","الذكاء الاصطناعي بيذاكر معاك في EduNor! - تحليل الأداء - مذاكرة أذكى","A vertical loop of a futuristic microchip pulsing with data, merging with a graduation cap. Colors: Navy blue (#1E3A5F), Teal (#2EC4B6), and Gold (#F4A825). --ar 9:16","المذاكرة بذكاء بتوفر وقت ومجهود. سيب الـ AI في #EduNor يحلل مستواك ويوجهك للصح.","الرابط في البايو لتجربة مجانية"
"اليوم 6","Post","مشاركة نجاح","-","-","EduNor brand style: modern educational flat design, navy blue (#1E3A5F) primary background, golden yellow (#F4A825) accents, white text, clean minimal layout, soft geometric shapes, rounded corners. A target with an arrow hitting the center 🎯. --ar 1:1","سواء كنت في مرحلة النقل أو الشهادات، التأسيس القوي والتدريب على نمط الأسئلة هو مفتاحك. لا تعتمد على مصدر واحد للتقييم. افهم مش تحفظ 💡","اضغط على الرابط في البايو وابدأ رحلتك"
"اليوم 7","Reel","تحدي الأسبوع","جاهز للتحدي؟ نزلنا اختبار شامل جديد على المنصة هيقيس مستواك في نص المنهج. الأول ليه اشتراك مجاني الشهر الجاي. مستني إيه؟","تحدي نهاية الأسبوع من EduNor! - اختبر مستواك - مين هيكون الأول؟","A dynamic vertical loop of a glowing countdown timer over a sleek dark navy blue background with golden geometric shapes bursting. --ar 9:16","وقت التحدي جه! ادخل دلوقتي وجرب تحل الاختبار الشامل على منصة #EduNor.","منشن صاحبك اللي هتدخل معاه التحدي!"
"اليوم 7","Post","خلاصة الأسبوع","-","-","EduNor brand style: modern educational flat design, white (#FFFFFF) background, navy blue (#1E3A5F) and soft teal (#2EC4B6) accents, golden yellow (#F4A825) highlights, clean minimal layout, soft geometric shapes. Three stylized floating checkmarks ✅. --ar 4:5","أهم 3 دروس اتعلمناها الأسبوع ده: 1- الاستمرارية أهم من الكم. 2- الحل الكتير بيثبت المعلومة. 3- التقييم المستمر بيكشف نقاط الضعف. ابدأ دلوقتي 👇","شاركونا إيه أهم إنجاز عملتوه الأسبوع ده؟"
"اليوم 8","Reel","تريكات منهج","أكبر غلطة في الفيزياء إنك تحل المسألة وهي مجرد كلام. ارسم المعطيات على جنب وهتلاقي الحل طلع لوحده. في إديو نور بنقدملك أسئلة مرسومة تدربك على ده.","عقدتك الفيزياء؟ السر في تحويل الكلام لرسمة! - إديو نور - افهم مش تحفظ","A vertical motion graphic of a physics word problem magically transforming into a clean, simple diagram. Navy blue background with bright yellow lines. --ar 9:16","الرسم بيوضح المعطيات وبيسهل الحل. اتدرب على مسائل مجهزة بالرسومات التوضيحية في #EduNor.","حفظ للفيديو وابدأ جربها النهارده"
"اليوم 8","Post","تحفيز ودعم","-","-","EduNor brand style: modern educational flat design, navy blue (#1E3A5F) primary background, golden yellow (#F4A825) accents, white text, clean minimal layout, soft geometric shapes. A clean stylized desk with a modern lamp and neatly stacked books. --ar 1:1","مساحة المذاكرة بتاعتك بتعكس تركيزك. رتب مكتبك، إضاءة كويسة، وكوباية قهوة.. تفاصيل صغيرة بتفرق في نفسيتك وإنت بتذاكر. ابدأ صح عشان تكمل صح. 🚀","صورلنا مكتبك في الكومنتات وورينا بتذاكر إزاي!"
"اليوم 9","Reel","ميزة الفلترة","أكبر غلطة إنك تذاكر وماتحلش. في إديو نور تقدر تفلتر الأسئلة وتعمل امتحان لنفسك على فصل معين أو حتى درس واحد عشان تتأكد إنك هضمت المعلومة.","خلصت مذاكرة الفصل؟ اختبر نفسك فوراً! - فلتر الأسئلة - تدريب مستمر","(استخدم تسجيل شاشة حقيقي لعملية فلترة الأسئلة داخل منصة EduNor مع تأثير تكبير (Zoom in) على زر الفلتر)","التطبيق المباشر بعد المذاكرة هو اللي بيثبت المعلومة. جرب تعمل امتحان مخصص ليك على منصة #EduNor.","جرب فلتر الأسئلة دلوقتي.. اللينك في البايو"
"اليوم 9","Post","تفاعل ومجتمع","-","-","EduNor brand style: modern educational flat design, split layout navy blue (#1E3A5F) and soft teal (#2EC4B6), golden yellow (#F4A825) accents, clean minimal layout. A sun icon on one side and a moon icon on the other. --ar 4:5","كائن صباحي ولا سهّار؟ العلماء بيقولوا إن التركيز بيختلف من شخص للتاني. المنصة متاحة ليك 24 ساعة للتقييم والتدريب في الحالتين. 💡","إنت من فريق الصبح ولا بالليل؟"
"اليوم 10","Reel","تريكات نحو","كتير بيستعجل ويعرب الكلمة دي مفعول به وهي فاعل مقدم! التسرع عدوك الأول. عشان تتعود على الهدوء في الحل اختبر نفسك معانا في إديو نور.","قاعدة نحوية بتوقع نص الدفعة كل سنة! - احذر التسرع - إديو نور","A vertical typographic animation. An Arabic sentence appears, a trick word gets underlined in Red (#E74C3C), then corrected in Green (#27AE60). --ar 9:16","النحو محتاج فهم للمعنى قبل الإعراب. اتدرب على أصعب أفكار النحو مع بنك أسئلة #EduNor.","شير لصاحبك اللي بيتلخبط في النحو"
"اليوم 10","Post","توعية بالمنصة","-","-","EduNor brand style: modern educational flat design, navy blue (#1E3A5F) primary background, golden yellow (#F4A825) accents, clean minimal layout, soft geometric shapes, rounded corners. A glowing golden seal of approval with a checkmark. --ar 1:1","ليه تحل من مصادر مش موثوقة؟ الإنترنت مليان أسئلة، بس هل كلها مطابقة لمواصفات الوزارة؟ إحنا في EduNor بنضمنلك إن كل سؤال تم مراجعته من خبراء المادة.","سجل مجاناً وتأكد بنفسك."
"اليوم 11","Reel","تحفيز نفسي","الإحساس بالنسيان ده طبيعي جداً واسمه وهم النسيان. أول ما تشوف السؤال في الامتحان مخك هيستدعي المعلومة. بس بشرط تكون متدرب على الحل كتير.","لو حاسس إنك ناسي كل حاجة.. اسمع ده. - وهم النسيان - التدريب هو الحل","A calming vertical video loop of a soft glowing lightbulb floating gently over a dark navy blue background, emitting warm yellow light. --ar 9:16","التوتر بيخليك تحس إنك ناسي، بس التدريب الكتير بيبني ثقتك. ابدأ تدريبك مع #EduNor.","اعمل سيف لو محتاج تسمع الكلام ده تاني"
"اليوم 11","Post","نصيحة تقنية","-","-","EduNor brand style: modern educational flat design, white (#FFFFFF) background, navy blue (#1E3A5F) accents, golden yellow (#F4A825) highlights, clean minimal layout. A stylized modern tablet showing a growth chart icon 📈. --ar 4:5","💡 نصيحة من EduNor: ازاي تستغل التابلت صح؟ التابلت مش مجرد شاشة للامتحان.. نزل عليه تطبيقات تنظيم الوقت، وافتح منصة EduNor منه عشان تتعود على شكل واجهة الامتحان الحقيقي.","بتستخدم التابلت في إيه غير المذاكرة؟"
"اليوم 12","Reel","توجيه أولياء الأمور","ساعات الطالب بيفضل قاعد على الكتاب بالساعات والنتيجة صفر. الحل مش في عدد الساعات الحل في التقييم. مع نظام التقارير في إديو نور هتقدر تتابع أداء ابنك بالأرقام.","ازاي تعرف إن ابنك بيذاكر بجد؟ - تقارير الأداء - متابعة مستمرة","A vertical animation showing a stylized dashboard transforming into an easy-to-read progress report. Navy blue and Teal color palette. --ar 9:16","المتابعة الدقيقة بالأرقام أفضل من الضغط المستمر. اكتشف تقارير أولياء الأمور في #EduNor.","ابعث الفيديو ده لكل أب وأم"
"اليوم 12","Post","تفاعل","-","-","EduNor brand style: modern educational flat design, navy blue (#1E3A5F) primary background, golden yellow (#F4A825) accents, clean minimal layout, soft geometric shapes, rounded corners. A large stylized book with a question mark icon. --ar 1:1","أصعب مادة في التاريخ هي.... كل جيل وليه مادة بتعمله رعب. شاركنا من وجهة نظرك إيه هي المادة اللي محتاجة مجهود مضاعف، وإزاي بتحاول تسيطر عليها؟","مستنيين إجاباتكم في التعليقات!"
"اليوم 13","Reel","ميزة الاستبعاد","لو مش عارف الإجابة الصح، ابدأ استبعد الإجابات اللي متأكد إنها غلط! الاستراتيجية دي بتزود نسبة نجاحك جداً. جرب تطبقها في اختبارات إديو نور.","ازاي تستبعد الإجابات الغلط؟ - استراتيجية الاستبعاد - زود درجاتك","A vertical motion graphic showing four multiple-choice options. Two are slashed out in red, leaving the correct one highlighted in green. --ar 9:16","استراتيجية الاستبعاد بتنقذك لما تتزنق في سؤال صعب. اتدرب عليها دايماً في #EduNor.","احفظ الفيديو عشان تستخدم الطريقة دي في لجان الوزارة."
"اليوم 13","Post","تحفيز","-","-","EduNor brand style: modern educational flat design, navy blue (#1E3A5F) primary background, golden yellow (#F4A825) accents, clean minimal layout, soft geometric shapes. A glowing lightbulb icon 💡 surrounded by small geometric shapes. --ar 4:5","✨ لا تنتظر الإلهام لتبدأ، ابدأ وسيأتي الإلهام. البدايات دايماً صعبة. اكسر حاجز الكسل وافتح اختبار قصير على EduNor يحرك نشاطك. مش لازم تبقى الأول... بس لازم تبدأ 🚀","ابدأ دلوقتي ولو بـ 10 أسئلة."
"اليوم 14","Reel","تحدي سريع","السؤال ده محتاج تركيز عالي وربط معلومات. وقف الفيديو وحاول تحله. لو عرفت الحل اكتبه في الكومنتات، ولو عايز أفكار زيه هتلاقيها في منصتنا.","مسألة للمتفوقين.. تقدر تحلها في 30 ثانية؟ - تحدي إديو نور","A vertical animated loop of a ticking sleek modern clock, with a complex question displayed prominently in Cairo bold font. --ar 9:16","السرعة مع الدقة هما مفتاح التفوق في النظام الجديد. اتدرب على تحديات #EduNor.","اكتب إجابتك في التعليقات وهنقولك صح ولا غلط!"
"اليوم 14","Post","خلاصة الأسبوع","-","-","EduNor brand style: modern educational flat design, navy blue (#1E3A5F) primary background, soft teal (#2EC4B6) accents, golden yellow (#F4A825) highlights, clean minimal layout. A magnifying glass hovering over an exam paper icon. --ar 1:1","راجع أخطاءك قبل ما تراجع دروسك. في نهاية الأسبوع، بص بصه على كل الأسئلة اللي غلطت فيها. معرفة سبب الغلط بيثبت المعلومة أضعاف المذاكرة العادية. افهم مش تحفظ 💡","شاركنا.. هل بتراجع أخطاءك ولا بتعديها؟"
"اليوم 15","Reel","تريكات الإنجليزي","الحفظ بالتكرار ممل وبننساه. الحل هو إنك تحط الكلمة في جملة أو تحل عليها أسئلة اختياري عشان مخك يربطها بسياق. جرب طريقة الحل في إديو نور.","إزاي تحفظ كلمات الإنجليزي من غير ما تنساها؟ - اربط الكلمة بسياق","A vertical graphic showing a standalone English word sliding smoothly into an empty blank space within a sentence. Navy and Gold theme. --ar 9:16","الكلمة اللي بتيجي في سؤال مش بتتنسي أبداً. حل أسئلة لغة إنجليزية كتير على منصة #EduNor.","منشن صاحبك اللي بينسى الكلمات دايماً"
"اليوم 15","Post","قيمة تعليمية","-","-","EduNor brand style: modern educational flat design, split background navy blue (#1E3A5F) and light gray (#F5F5F5), golden yellow (#F4A825) accents, clean minimal layout, soft geometric shapes. A brain icon split representing understanding vs memorization. --ar 4:5","الفرق بين الفهم والحفظ في أسئلة الاختيار من متعدد. أسئلة الوزارة مبنية على 'المشتتات'. عشان ماتقعش في الفخ ده لازم تكون فاهم الفكرة مش حافظ شكل السؤال. افهم مش تحفظ 💡","جرب تحل معانا اختبار مجاني وشوف الفرق."
"اليوم 16","Reel","تريكات الكيمياء","السؤال ده بيلعب على خدعة في وحدات القياس. دايماً ركز في التحويلات قبل ما تختار. التدريب المستمر في إديو نور بيخليك تصيد الخدع دي في ثواني.","سؤال خبيث في الكيمياء.. خلي بالك منه! - خدعة وحدات القياس","A vertical typographic video where a chemistry equation is displayed. The unit of measurement flashes in red (#E74C3C) to grab attention. --ar 9:16","التدريب المستمر هو اللي بيكشفلك خدع الامتحانات قبل ما تقع فيها. اشترك في #EduNor.","سيف الفيديو ده وهتحتاجه ليلة الامتحان"
"اليوم 16","Post","تفاعل","-","-","EduNor brand style: modern educational flat design, golden yellow (#F4A825) primary background, navy blue (#1E3A5F) accents, clean minimal layout, soft geometric shapes, rounded corners. A stylized flat design burger made of colorful books. --ar 1:1","لو المذاكرة كانت أكلة.. هتبقى إيه؟ سؤال للترفيه وكسر الملل! هل المذاكرة عاملة زي الشطة حراقة بس بتصحي؟ ولا زي السبانخ مفيدة بس تقيلة؟ شاركونا إبداعاتكم!","اكتبولنا في الكومنتات!"
"اليوم 17","Reel","ميزة التدرج","رهبة الامتحانات الشاملة بتخلي طلاب كتير تأجلها. في إديو نور صممنالك اختبارات متدرجة الصعوبة عشان تبني ثقتك في نفسك خطوة بخطوة لحد ما توصل لامتحان آخر السنة.","خايف تواجه امتحان شامل؟ إحنا هندربك بالتدريج - ابني ثقتك بنفسك","(تسجيل شاشة يوضح فلاتر الصعوبة: سهل، متوسط، صعب، مع تأثيرات حركية ناعمة عند النقر عليها)","ماتبدأش بالصعب عشان ماتحبطش. اتدرج في المستوى مع منصة #EduNor.","ادخل المنصة وابدأ بمستوى يناسبك."
"اليوم 17","Post","نصيحة سريعة","-","-","EduNor brand style: modern educational flat design, navy blue (#1E3A5F) primary background, soft teal (#2EC4B6) accents, golden yellow (#F4A825) highlights, clean minimal layout. A clean calendar icon with specific days highlighted. --ar 4:5","💡 نصيحة من EduNor: طريقة 1-3-5 للمراجعة الفعالة. راجع الدرس بعد يوم، وبعد 3 أيام، وبعد 5 أيام. الطريقة دي بتنقل المعلومة للذاكرة طويلة المدى. طبقها وأنت بتحل.","بتراجع دروسك كل قد إيه؟"
"اليوم 18","Reel","أخطاء شائعة","30% من الأخطاء في الامتحانات بتيجي لأن الطالب مكملش قراءة السؤال لآخره ومشافش كلمة 'ما عدا' أو 'ليس'. درب عينك تقرأ السؤال للآخر مع اختبارات إديو نور.","قراءة السؤال لنصه بس.. الكارثة الكبرى! - ركز في التفاصيل","A vertical animation of a sentence being highlighted word by word. The highlight stops abruptly before the word 'EXCEPT', which then pulses in yellow. --ar 9:16","الهدوء وقراءة السؤال كامل هما نص الإجابة. اتدرب على التركيز مع #EduNor.","شارك الفيديو مع صاحبك المتسرع!"
"اليوم 18","Post","تحفيز","-","-","EduNor brand style: modern educational flat design, navy blue (#1E3A5F) gradient background, golden yellow (#F4A825) accents, clean minimal layout, soft geometric shapes, rounded corners. A bold graduation cap icon 🎓. --ar 1:1","✨ العرق في التدريب يوفر الدماء في المعركة. المجهود اللي بتبذله دلوقتي في حل مئات الأسئلة، هيوفر عليك توتر وقلق جوة لجنة الامتحان. ابدأ دلوقتي 🚀","ابدأ تدريبك العنيف دلوقتي على منصتنا."
"اليوم 19","Reel","التعليم من الأخطاء","ساعات كتير بتفهم الدرس بشكل أعمق لما تقرأ الشرح الخاص بإجابة السؤال اللي حليته غلط. إديو نور بتوفرلك شروحات وافية بعد الإجابة الخاطئة.","بنوك الأسئلة مش مجرد تقييم، دي أداة للتعلم! - شروحات إديو نور","(تسجيل شاشة يوضح ظهور نافذة Explanation بعد إجابة خاطئة على المنصة، مع تأثير تمييز للمعلومة)","الغلطة اللي بتتعلم منها مستحيل تنساها. استفد من ميزة الشروحات في #EduNor.","ابدأ التعلم من أخطائك اليوم."
"اليوم 19","Post","تفاعل","-","-","EduNor brand style: modern educational flat design, soft teal (#2EC4B6) background, navy blue (#1E3A5F) accents, golden yellow (#F4A825) highlights, clean minimal layout. A stylized flat design coffee cup with a lightbulb icon on it. --ar 4:5","مشروب المذاكرة الرسمي بتاعك إيه؟ قهوة، شاي، ولا حاجة تانية؟ شاركنا مشروبك المفضل اللي بيخليك تركز وتنجز في حل اختباراتك وتجيب أعلى درجات.","القهوة بتكسب ولا الشاي؟ اكتبلنا."
"اليوم 20","Reel","تأجيل الأسئلة","دي استراتيجية ممتازة! حل السهل الأول عشان تضمن درجاته وتبني ثقة. في منصتنا تقدر تعلم على السؤال بعلامة وترجعله تاني بسهولة.","تأجيل الأسئلة الصعبة لآخر الامتحان.. صح ولا غلط؟ - ميزة Flag","A vertical animation showing a digital UI where a user clicks a 'Flag' icon (turns yellow #F39C12) next to a hard question, then moves to the next. --ar 9:16","إدارة وقت الامتحان مهارة بتكتسبها بالتدريب على منصة #EduNor.","منشن صاحبك اللي بيعطل قدام سؤال ربع ساعة."
"اليوم 20","Post","توعية","-","-","EduNor brand style: modern educational flat design, navy blue (#1E3A5F) primary background, golden yellow (#F4A825) accents, clean minimal layout, soft geometric shapes, rounded corners. A stylized gear mechanism next to a lightbulb icon. --ar 1:1","هل بتذاكر بجهد ولا بذكاء؟ (Work Smart vs Work Hard) المذاكرة بذكاء هي إنك تقيم نفسك باستمرار وتعرف المناطق اللي بتوقع منك درجات وتراجعها. EduNor هي أداتك للمذاكرة بذكاء.","اشترك الآن واكتشف طريقة المذاكرة الأذكى."
"اليوم 21","Reel","ميزة الواجهة","لأننا عارفين إنك بتقعد قدام الشاشة كتير، صممنا إديو نور بواجهة مريحة جداً بدون تشتيت، عشان كل تركيزك يكون في السؤال والتفوق وبس.","واجهة استخدام مريحة لعينك وعقلك - تصميم إديو نور","(تسجيل شاشة يستعرض سلاسة التنقل بين الأسئلة وصفحات المنصة، مع التركيز على تغيير الوضع الليلي Dark Mode)","راحة عينك وقت المذاكرة بتزود تركيزك. اكتشف التصميم العصري لمنصة #EduNor.","جرب سلاسة المنصة بنفسك.. الرابط في البايو."
"اليوم 21","Post","تفاعل","-","-","EduNor brand style: modern educational flat design, split layout navy blue (#1E3A5F) and white (#FFFFFF), golden yellow (#F4A825) accents, clean minimal layout. A book icon on one side and a headphone icon on the other. --ar 4:5","بتحب تذاكر في هدوء تام ولا مع مزيكا خفيفة؟ اختلاف طرق المذاكرة بيثبت إن مفيش قاعدة واحدة للنجاح. المهم تلاقي البيئة اللي بتخليك تنتج أكتر.","شاركونا طقوسكم في المذاكرة."
"اليوم 22","Reel","تحديثات المناهج","المنهج اتغير؟ شكل السؤال اختلف؟ ماتقلقش. فريق إديو نور بيحدث بنك الأسئلة بشكل يومي عشان تكون دايماً سابق بخطوة ومطابق لأحدث تعليمات الوزارة.","تحديثات مستمرة تواكب أي تغيير في المناهج - إديو نور دايماً معاك","A vertical graphic showing a refresh icon spinning rapidly, updating documents on a digital screen. Navy blue and teal accents. --ar 9:16","خليك دايماً مطمن إنك بتتدرب على أحدث المواصفات مع منصة #EduNor.","سجل معانا واطمن إنك على الطريق الصح."
"اليوم 22","Post","نصيحة","-","-","EduNor brand style: modern educational flat design, light gray (#F5F5F5) background, navy blue (#1E3A5F) accents, golden yellow (#F4A825) highlights, clean minimal layout. A stylized gift box with a star coming out of it ✨. --ar 1:1","💡 نصيحة من EduNor: كافيء نفسك بعد كل إنجاز. خلصت فصل وحليت عليه امتحان وجبت درجة كويسة؟ لازم تكافيء نفسك بحاجة بتحبها. ده بيبرمج مخك يربط المذاكرة بالمكافأة.","كافأت نفسك بإيه آخر مرة؟"
"اليوم 23","Reel","نصائح النوم","السهر ليلة الامتحان عشان تحل أكتر بيضر مش بينفع. المخ بيرتب المعلومات ويثبتها خلال النوم العميق. حافظ على ساعات نومك مع تنظيم حلك على إديو نور.","نام كويس عشان تفتكر كويس - تنظيم الوقت وصحة الطالب","A vertical flat design loop of a peaceful crescent moon floating above a stack of textbooks with soft glowing dust falling. Navy blue aesthetic. --ar 9:16","النوم العميق هو اللي بيثبت اللي ذاكرته طول اليوم. نظم وقتك وتدريبك مع #EduNor.","اعمل شير لصاحبك اللي بيطبق باليومين."
"اليوم 23","Post","تحفيز","-","-","EduNor brand style: modern educational flat design, navy blue (#1E3A5F) gradient background, golden yellow (#F4A825) accents, clean minimal layout. A mountain peak icon with a flag at the top. --ar 4:5","✨ الأيام الصعبة هي اللي بتصنع التفوق. لما تحس إنك تعبت ومش قادر تكمل، افتكر إن اللحظة دي هي اللي بتفرق بين الطالب العادي والطالب المتفوق. كمل، حلمك يستاهل. 🚀","سيب رسالة تشجيع لنفسك في الكومنتات."
"اليوم 24","Reel","رسالة الموثوقية","إحنا بنينا المنصة دي لأننا حاسين بيكم وعارفين التحديات اللي بتواجهوها في النظام الجديد. هدفنا مش مجرد منصة، هدفنا نكون رفيق نجاحكم لحد باب الجامعة.","رسالة من فريق إديو نور للطلاب - إحنا في ضهرك","A kinetic typography video animating the core message over a solid Navy Blue background, highlighting key words in Golden Yellow. --ar 9:16","هدفنا في #EduNor هو نجاحك المستمر، مش مجرد تقديم أسئلة. افهم مش تحفظ.","وجودكم معانا هو أكبر نجاح لينا."
"اليوم 24","Post","تفاعل","-","-","EduNor brand style: modern educational flat design, white (#FFFFFF) background, navy blue (#1E3A5F) typography, golden yellow (#F4A825) highlights, clean minimal layout. A mute icon cutting through a speech bubble. --ar 1:1","كلمة بتسمعها كتير أيام الامتحانات ونفسك تبطلها! في جمل معينة بتوترنا زي 'الامتحان جاي صعب' أو 'الدفعة دي مظلومة'. إيه أكتر جملة بتعصبك، وإزاي بتتجاهلها؟","فضفض معانا في التعليقات!"
"اليوم 25","Reel","ميزة المحاكاة","حل الأسئلة هو المحاكي الحقيقي لليوم اللي هتقعد فيه قدام ورقة الامتحان. ماتضيعش فرصتك في التدريب على أسئلة محاكية للواقع بنسبة مية في المية على إديو نور.","طريقك للامتحان بيبدأ بسؤال - محاكاة للامتحانات الحقيقية","A loop of an abstract digital pathway leading up to a glowing graduation cap, symbolizing the journey of solving questions. --ar 9:16","كل سؤال بتحله على منصتنا بيقربك خطوة من حلمك. استعد صح مع #EduNor.","اشترك في المنصة واستعد للامتحان."
